NPS,Class,File,Disc OD,Plate,Bolts,Bolt dia,Bolt circle,Stem,Crossbar,Bar depth,Bolt gap per side,Crossbar starts,Overall length,Approx lb
5,900,NPS5_CL900_skillet.dxf,9-5/8,7/8,8,1-1/4,11,2-1/2,7,1-7/8,0.230,8.875,15.562,24
6,900,NPS6_CL900_skillet.dxf,11-1/4,1,12,1-1/8,12-1/2,1-5/8,4-1/2,1-1/4,0.243,9.500,16.375,32
8,900,NPS8_CL900_skillet.dxf,14,1-3/8,12,1-3/8,15-1/2,2-1/4,6-1/4,1-3/4,0.193,11.250,20.000,68
10,900,NPS10_CL900_skillet.dxf,17,1-5/8,16,1-3/8,18-1/2,1-3/4,4-3/4,1-1/4,0.242,12.750,22.500,111
12,900,NPS12_CL900_skillet.dxf,19-1/2,1-7/8,20,1-3/8,21,1-1/2,4,1-1/8,0.205,14.000,24.875,165
14,900,NPS14_CL900_skillet.dxf,20-3/8,2-1/8,20,1-1/2,22,1-1/2,4,1-1/8,0.221,14.625,25.938,203
16,900,NPS16_CL900_skillet.dxf,22-1/2,2-3/8,20,1-5/8,24-1/4,1-3/4,4-3/4,1-1/4,0.209,15.875,28.375,277
18,900,NPS18_CL900_skillet.dxf,25,2-5/8,20,1-7/8,27,1-7/8,5-1/4,1-3/8,0.237,17.500,31.375,378
20,900,NPS20_CL900_skillet.dxf,27-3/8,2-7/8,20,2,29-1/2,2-1/8,5-3/4,1-5/8,0.245,18.875,34.188,496
24,900,NPS24_CL900_skillet.dxf,32-7/8,3-1/2,20,2-1/2,35-1/2,2-5/8,7-1/4,2,0.214,22.500,40.938,873
